date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:38	200550/200550	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202025%2017:44:38%20GMT	https://php.spruko.com/xintra/xintra/pages/index.php	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/pages/index.html	(from )
00:44:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jan%202025%2017:44:38%20GMT	https://php.spruko.com/robots.txt		(from )
00:44:39	10852/10852	---M--	200	added ('OK')	text/javascript	date:Mon,%2009%20Sep%202024%2021:13:30%20GMT	https://php.spruko.com/xintra/xintra/assets/js/main.js	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/js/main.js	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:39	89447/89447	---M--	200	added ('OK')	text/javascript	date:Mon,%2009%20Sep%202024%2023:03:00%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/choices.js/public/assets/scripts/choices.min.js	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/choices.js/public/assets/scripts/choices.min.js	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:41	232803/232803	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:02:58%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/bootstrap/css/bootstrap.min.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/bootstrap/css/bootstrap.min.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:42	3861/3861	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:02:58%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/node-waves/waves.min.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/node-waves/waves.min.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:42	980611/980611	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:34:10%20GMT	https://php.spruko.com/xintra/xintra/assets/css/styles.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/css/styles.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:42	3269/3269	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:02:58%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/simplebar/simplebar.min.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/simplebar/simplebar.min.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:42	16166/16166	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:02:58%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/flatpickr/flatpickr.min.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/flatpickr/flatpickr.min.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:42	9248/9248	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:02:58%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/@simonwep/pickr/themes/nano.min.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:43	7666/7666	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:03:00%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/choices.js/public/assets/styles/choices.min.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:43	641905/641905	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:34:10%20GMT	https://php.spruko.com/xintra/xintra/assets/css/icons.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/css/icons.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:43	3093/3093	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2023:02:58%20GMT	https://php.spruko.com/xintra/xintra/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:43	2508/2508	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/brand-logos/desktop-logo.png	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/brand-logos/desktop-logo.png	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:43	1699/1699	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/brand-logos/toggle-dark.png	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/brand-logos/toggle-dark.png	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:44	2488/2488	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/brand-logos/desktop-dark.png	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/brand-logos/desktop-dark.png	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:44	1699/1699	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/brand-logos/toggle-logo.png	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/brand-logos/toggle-logo.png	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:44	974/974	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/brand-logos/toggle-white.png	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/brand-logos/toggle-white.png	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:44	1644/1644	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/brand-logos/desktop-white.png	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/brand-logos/desktop-white.png	(from https://php.spruko.com/xintra/xintra/pages/index.php)
00:44:45	2323/2323	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jul%202024%2022:08:50%20GMT	https://php.spruko.com/xintra/xintra/assets/images/flags/us_flag.jpg	D:/Semrawut/Xintra/Xintra/php.spruko.com/xintra/xintra/assets/images/flags/us_flag.jpg	(from https://php.spruko.com/xintra/xintra/pages/index.php)
